YEAR Code,YEAR,AREA Code,AREA,A1101_Total population (Both sexes)[person],A110101_Total population (Male)[person],A110102_Total population (Female)[person],A1304_Ratio of population (under15 years old)[%],A1305_Ratio of population (15-64 years old)[%],A1306_Ratio of population (65 years old and over)[%],A4200_Number of deaths[person],A420001_Number of deaths (Male)[person],A420002_Number of deaths (Female)[person]
1999100000,1999,26000,Kyoto-fu,"2,645,000","1,279,000","1,366,000",***,***,***,"20,690","10,841","9,849"
1999100000,1999,27000,Osaka-fu,"8,813,000","4,312,000","4,500,000",***,***,***,"61,724","34,206","27,518"
1999100000,1999,34000,Hiroshima-ken,"2,881,000","1,395,000","1,486,000",***,***,***,"23,735","12,932","10,803"
1999100000,1999,47000,Okinawa-ken,"1,308,000","642,000","665,000",***,***,***,"7,880","4,243","3,637"
1998100000,1998,0,All Japan,"126,472,000","61,952,000","64,520,000",***,***,***,"936,484","512,128","424,356"
1998100000,1998,1000,Hokkaido,"5,695,000","2,731,000","2,964,000",***,***,***,"41,755","23,571","18,184"
1998100000,1998,12000,Chiba-ken,"5,867,000","2,951,000","2,915,000",***,***,***,"36,410","20,195","16,215"
1998100000,1998,13000,Tokyo-to,"11,939,000","5,982,000","5,957,000",***,***,***,"80,793","44,653","36,140"
1998100000,1998,26000,Kyoto-fu,"2,643,000","1,280,000","1,363,000",***,***,***,"19,868","10,531","9,337"
1998100000,1998,27000,Osaka-fu,"8,813,000","4,317,000","4,496,000",***,***,***,"59,647","33,285","26,362"
1998100000,1998,34000,Hiroshima-ken,"2,882,000","1,396,000","1,486,000",***,***,***,"22,705","12,408","10,297"
1998100000,1998,47000,Okinawa-ken,"1,298,000","637,000","661,000",***,***,***,"7,643","4,081","3,562"
1997100000,1997,0,All Japan,"126,157,000","61,827,000","64,329,000",***,***,***,"913,402","497,796","415,606"
1997100000,1997,1000,Hokkaido,"5,699,000","2,736,000","2,962,000",***,***,***,"41,238","23,211","18,027"
1997100000,1997,12000,Chiba-ken,"5,839,000","2,940,000","2,899,000",***,***,***,"34,662","19,295","15,367"
1997100000,1997,13000,Tokyo-to,"11,881,000","5,958,000","5,923,000",***,***,***,"78,744","43,548","35,196"
1997100000,1997,26000,Kyoto-fu,"2,638,000","1,279,000","1,359,000",***,***,***,"19,239","10,090","9,149"
1997100000,1997,27000,Osaka-fu,"8,808,000","4,320,000","4,487,000",***,***,***,"57,864","32,103","25,761"
1997100000,1997,34000,Hiroshima-ken,"2,882,000","1,396,000","1,485,000",***,***,***,"22,425","12,120","10,305"
1997100000,1997,47000,Okinawa-ken,"1,289,000","633,000","657,000",***,***,***,"7,381","3,932","3,449"
1996100000,1996,0,All Japan,"125,859,000","61,698,000","64,161,000",***,***,***,"896,211","488,605","407,606"
1996100000,1996,1000,Hokkaido,"5,697,000","2,738,000","2,960,000",***,***,***,"40,742","22,910","17,832"
1996100000,1996,12000,Chiba-ken,"5,817,000","2,932,000","2,886,000",***,***,***,"33,939","18,899","15,040"
1996100000,1996,13000,Tokyo-to,"11,808,000","5,915,000","5,893,000",***,***,***,"77,356","42,696","34,660"
1996100000,1996,26000,Kyoto-fu,"2,634,000","1,279,000","1,356,000",***,***,***,"19,068","10,014","9,054"
1996100000,1996,27000,Osaka-fu,"8,807,000","4,324,000","4,482,000",***,***,***,"57,187","31,408","25,779"
1996100000,1996,34000,Hiroshima-ken,"2,881,000","1,397,000","1,484,000",***,***,***,"21,736","11,936","9,800"
1996100000,1996,47000,Okinawa-ken,"1,282,000","629,000","653,000",***,***,***,"7,038","3,763","3,275"
1995100000,1995,0,All Japan,"125,570,246","61,574,398","63,995,848",***,***,***,"922,139","501,276","420,863"
1995100000,1995,1000,Hokkaido,"5,692,321","2,736,844","2,955,477",***,***,***,"40,678","22,945","17,733"
1995100000,1995,12000,Chiba-ken,"5,797,782","2,923,839","2,873,943",***,***,***,"34,317","19,081","15,236"
1995100000,1995,13000,Tokyo-to,"11,773,605","5,892,704","5,880,901",***,***,***,"78,651","43,286","35,365"
1995100000,1995,26000,Kyoto-fu,"2,629,592","1,276,838","1,352,754",***,***,***,"19,321","10,300","9,021"
1995100000,1995,27000,Osaka-fu,"8,797,268","4,321,575","4,475,693",***,***,***,"58,255","32,011","26,244"
1995100000,1995,34000,Hiroshima-ken,"2,881,748","1,398,986","1,482,762",***,***,***,"22,650","12,449","10,201"
1995100000,1995,47000,Okinawa-ken,"1,273,440","624,737","648,703",***,***,***,"7,283","3,937","3,346"
1994100000,1994,0,All Japan,"125,265,000","61,446,000","63,819,000",***,***,***,"875,933","476,080","399,853"
1994100000,1994,1000,Hokkaido,"5,681,000","2,732,000","2,949,000",***,***,***,"38,939","22,078","16,861"
1994100000,1994,12000,Chiba-ken,"5,767,000","2,910,000","2,857,000",***,***,***,"32,687","18,130","14,557"
1994100000,1994,13000,Tokyo-to,"11,796,000","5,912,000","5,884,000",***,***,***,"75,299","41,306","33,993"
1994100000,1994,26000,Kyoto-fu,"2,622,000","1,274,000","1,348,000",***,***,***,"18,821","9,664","9,157"
1994100000,1994,27000,Osaka-fu,"8,759,000","4,305,000","4,454,000",***,***,***,"55,741","30,785","24,956"
1994100000,1994,34000,Hiroshima-ken,"2,877,000","1,397,000","1,479,000",***,***,***,"21,577","11,572","10,005"
1994100000,1994,47000,Okinawa-ken,"1,262,000","619,000","643,000",***,***,***,"6,830","3,530","3,300"
1993100000,1993,0,All Japan,"124,938,000","61,317,000","63,621,000",***,***,***,"878,532","476,462","402,070"
1993100000,1993,1000,Hokkaido,"5,669,000","2,728,000","2,941,000",***,***,***,"39,884","22,403","17,481"
1993100000,1993,12000,Chiba-ken,"5,731,000","2,894,000","2,836,000",***,***,***,"32,000","17,663","14,337"
1993100000,1993,13000,Tokyo-to,"11,849,000","5,948,000","5,901,000",***,***,***,"74,758","40,896","33,862"
1993100000,1993,26000,Kyoto-fu,"2,618,000","1,273,000","1,345,000",***,***,***,"19,202","9,989","9,213"
1993100000,1993,27000,Osaka-fu,"8,762,000","4,311,000","4,451,000",***,***,***,"56,442","30,823","25,619"
1993100000,1993,34000,Hiroshima-ken,"2,873,000","1,396,000","1,477,000",***,***,***,"21,536","11,715","9,821"
1993100000,1993,47000,Okinawa-ken,"1,250,000","613,000","637,000",***,***,***,"7,023","3,678","3,345"
1992100000,1992,0,All Japan,"124,567,000","61,155,000","63,413,000",***,***,***,"856,643","465,544","391,099"
1992100000,1992,1000,Hokkaido,"5,661,000","2,726,000","2,935,000",***,***,***,"38,484","21,581","16,903"
1992100000,1992,12000,Chiba-ken,"5,679,000","2,868,000","2,812,000",***,***,***,"31,332","17,298","14,034"
1992100000,1992,13000,Tokyo-to,"11,887,000","5,976,000","5,910,000",***,***,***,"72,974","40,217","32,757"
1992100000,1992,26000,Kyoto-fu,"2,615,000","1,273,000","1,343,000",***,***,***,"18,822","9,829","8,993"
1992100000,1992,27000,Osaka-fu,"8,761,000","4,315,000","4,446,000",***,***,***,"54,914","29,996","24,918"
1992100000,1992,34000,Hiroshima-ken,"2,867,000","1,393,000","1,474,000",***,***,***,"21,229","11,596","9,633"
1992100000,1992,47000,Okinawa-ken,"1,239,000","607,000","632,000",***,***,***,"6,665","3,499","3,166"
1991100000,1991,0,All Japan,"124,101,000","60,934,000","63,167,000",***,***,***,"829,797","450,344","379,453"
1991100000,1991,1000,Hokkaido,"5,650,000","2,723,000","2,927,000",***,***,***,"36,872","20,905","15,967"
1991100000,1991,12000,Chiba-ken,"5,617,000","2,835,000","2,783,000",***,***,***,"29,651","16,315","13,336"
1991100000,1991,13000,Tokyo-to,"11,894,000","5,988,000","5,905,000",***,***,***,"70,675","38,733","31,942"
1991100000,1991,26000,Kyoto-fu,"2,608,000","1,270,000","1,338,000",***,***,***,"18,331","9,586","8,745"
1991100000,1991,27000,Osaka-fu,"8,750,000","4,313,000","4,437,000",***,***,***,"53,110","29,285","23,825"
1991100000,1991,34000,Hiroshima-ken,"2,859,000","1,388,000","1,470,000",***,***,***,"20,566","11,112","9,454"
1991100000,1991,47000,Okinawa-ken,"1,230,000","603,000","627,000",***,***,***,"6,263","3,260","3,003"
1990100000,1990,0,All Japan,"123,611,167","60,696,724","62,914,443",***,***,***,"820,305","443,718","376,587"
1990100000,1990,1000,Hokkaido,"5,643,647","2,722,988","2,920,659",***,***,***,"36,720","20,631","16,089"
1990100000,1990,12000,Chiba-ken,"5,555,429","2,802,774","2,752,655",***,***,***,"28,857","15,826","13,031"
1990100000,1990,13000,Tokyo-to,"11,855,563","5,969,773","5,885,790",***,***,***,"70,370","38,743","31,627"
1990100000,1990,26000,Kyoto-fu,"2,602,460","1,267,620","1,334,840",***,***,***,"18,031","9,400","8,631"
1990100000,1990,27000,Osaka-fu,"8,734,516","4,308,184","4,426,332",***,***,***,"52,844","28,887","23,957"
1990100000,1990,34000,Hiroshima-ken,"2,849,847","1,385,297","1,464,550",***,***,***,"20,468","11,027","9,441"
1990100000,1990,47000,Okinawa-ken,"1,222,398","598,669","623,729",***,***,***,"6,469","3,408","3,061"
1989100000,1989,0,All Japan,"123,205,000","60,515,000","62,690,000",***,***,***,"788,594","427,114","361,480"
1989100000,1989,1000,Hokkaido,"5,649,000","2,730,000","2,919,000",***,***,***,"36,080","20,277","15,803"
1989100000,1989,12000,Chiba-ken,"5,487,000","2,766,000","2,720,000",***,***,***,"27,480","15,252","12,228"
1989100000,1989,13000,Tokyo-to,"11,863,000","5,979,000","5,885,000",***,***,***,"67,629","37,160","30,469"
1989100000,1989,26000,Kyoto-fu,"2,604,000","1,270,000","1,335,000",***,***,***,"17,327","9,087","8,240"
1989100000,1989,27000,Osaka-fu,"8,744,000","4,316,000","4,428,000",***,***,***,"50,812","27,666","23,146"
1989100000,1989,34000,Hiroshima-ken,"2,843,000","1,382,000","1,460,000",***,***,***,"19,293","10,414","8,879"
1989100000,1989,47000,Okinawa-ken,"1,215,000","596,000","620,000",***,***,***,"5,818","3,163","2,655"
1988100000,1988,0,All Japan,"122,745,000","60,302,000","62,443,000",***,***,***,"793,014","428,094","364,920"
1988100000,1988,1000,Hokkaido,"5,656,000","2,737,000","2,918,000",***,***,***,"35,546","19,823","15,723"
1988100000,1988,12000,Chiba-ken,"5,403,000","2,722,000","2,681,000",***,***,***,"27,213","15,023","12,190"
1988100000,1988,13000,Tokyo-to,"11,873,000","5,986,000","5,887,000",***,***,***,"67,078","36,735","30,343"
1988100000,1988,26000,Kyoto-fu,"2,604,000","1,270,000","1,334,000",***,***,***,"17,608","9,196","8,412"
1988100000,1988,27000,Osaka-fu,"8,748,000","4,321,000","4,427,000",***,***,***,"50,704","27,749","22,955"
1988100000,1988,34000,Hiroshima-ken,"2,838,000","1,381,000","1,457,000",***,***,***,"19,487","10,632","8,855"
1988100000,1988,47000,Okinawa-ken,"1,208,000","593,000","615,000",***,***,***,"5,772","2,992","2,780"
1987100000,1987,0,All Japan,"122,239,000","60,058,000","62,181,000",***,***,***,"751,172","408,094","343,078"
1987100000,1987,1000,Hokkaido,"5,660,000","2,745,000","2,915,000",***,***,***,"33,521","19,043","14,478"
1987100000,1987,12000,Chiba-ken,"5,307,000","2,670,000","2,636,000",***,***,***,"25,526","14,169","11,357"
1987100000,1987,13000,Tokyo-to,"11,887,000","5,987,000","5,900,000",***,***,***,"63,879","35,108","28,771"
1987100000,1987,26000,Kyoto-fu,"2,601,000","1,270,000","1,331,000",***,***,***,"16,912","8,941","7,971"
1987100000,1987,27000,Osaka-fu,"8,737,000","4,317,000","4,420,000",***,***,***,"48,488","26,588","21,900"
1987100000,1987,34000,Hiroshima-ken,"2,834,000","1,380,000","1,454,000",***,***,***,"18,716","10,104","8,612"
1987100000,1987,47000,Okinawa-ken,"1,199,000","589,000","609,000",***,***,***,"5,580","2,879","2,701"
1986100000,1986,0,All Japan,"121,660,000","59,788,000","61,871,000",***,***,***,"750,620","406,918","343,702"
1986100000,1986,1000,Hokkaido,"5,673,000","2,757,000","2,916,000",***,***,***,"33,600","19,194","14,406"
1986100000,1986,12000,Chiba-ken,"5,219,000","2,625,000","2,594,000",***,***,***,"25,502","14,069","11,433"
1986100000,1986,13000,Tokyo-to,"11,888,000","5,986,000","5,902,000",***,***,***,"62,935","34,722","28,213"
1986100000,1986,26000,Kyoto-fu,"2,595,000","1,268,000","1,328,000",***,***,***,"16,864","8,807","8,057"
1986100000,1986,27000,Osaka-fu,"8,705,000","4,303,000","4,402,000",***,***,***,"48,266","26,306","21,960"
1986100000,1986,34000,Hiroshima-ken,"2,829,000","1,379,000","1,450,000",***,***,***,"19,138","10,142","8,996"
1986100000,1986,47000,Okinawa-ken,"1,188,000","585,000","603,000",***,***,***,"5,635","2,943","2,692"
1985100000,1985,0,All Japan,"121,048,923","59,497,316","61,551,607",***,***,***,"752,283","407,769","344,514"
1985100000,1985,1000,Hokkaido,"5,679,439","2,766,296","2,913,143",***,***,***,"34,314","19,242","15,072"
1985100000,1985,12000,Chiba-ken,"5,148,163","2,588,365","2,559,798",***,***,***,"24,891","13,800","11,091"
1985100000,1985,13000,Tokyo-to,"11,829,363","5,955,029","5,874,334",***,***,***,"62,499","34,265","28,234"
1985100000,1985,26000,Kyoto-fu,"2,586,574","1,264,035","1,322,539",***,***,***,"16,942","8,810","8,132"
1985100000,1985,27000,Osaka-fu,"8,668,095","4,286,445","4,381,650",***,***,***,"48,152","26,346","21,806"
1985100000,1985,34000,Hiroshima-ken,"2,819,200","1,373,853","1,445,347",***,***,***,"19,129","10,340","8,789"
1985100000,1985,47000,Okinawa-ken,"1,179,097","581,102","597,995",***,***,***,"5,283","2,792","2,491"
1984100000,1984,0,All Japan,"120,305,000","59,150,000","61,155,000",***,***,***,"740,247","402,220","338,027"
1984100000,1984,1000,Hokkaido,"5,672,000","2,769,000","2,903,000",***,***,***,"33,067","18,735","14,332"
1984100000,1984,12000,Chiba-ken,"5,079,000","2,554,000","2,525,000",***,***,***,"24,637","13,505","11,132"
1984100000,1984,13000,Tokyo-to,"11,759,000","5,922,000","5,837,000",***,***,***,"61,399","33,984","27,415"
1984100000,1984,26000,Kyoto-fu,"2,578,000","1,261,000","1,317,000",***,***,***,"16,637","8,751","7,886"
1984100000,1984,27000,Osaka-fu,"8,632,000","4,272,000","4,361,000",***,***,***,"46,916","25,786","21,130"
1984100000,1984,34000,Hiroshima-ken,"2,807,000","1,369,000","1,438,000",***,***,***,"18,540","10,059","8,481"
1984100000,1984,47000,Okinawa-ken,"1,161,000","572,000","589,000",***,***,***,"5,349","2,751","2,598"
1983100000,1983,0,All Japan,"119,536,000","58,786,000","60,750,000",***,***,***,"740,038","401,232","338,806"
1983100000,1983,1000,Hokkaido,"5,656,000","2,766,000","2,890,000",***,***,***,"33,517","19,047","14,470"
1983100000,1983,12000,Chiba-ken,"5,005,000","2,517,000","2,488,000",***,***,***,"24,676","13,469","11,207"
1983100000,1983,13000,Tokyo-to,"11,700,000","5,893,000","5,807,000",***,***,***,"60,768","33,690","27,078"
1983100000,1983,26000,Kyoto-fu,"2,569,000","1,257,000","1,312,000",***,***,***,"16,214","8,733","7,481"
1983100000,1983,27000,Osaka-fu,"8,588,000","4,252,000","4,337,000",***,***,***,"46,301","25,276","21,025"
1983100000,1983,34000,Hiroshima-ken,"2,793,000","1,362,000","1,430,000",***,***,***,"18,552","9,878","8,674"
1983100000,1983,47000,Okinawa-ken,"1,146,000","564,000","582,000",***,***,***,"5,541","2,833","2,708"
1982100000,1982,0,All Japan,"118,728,000","58,400,000","60,329,000",***,***,***,"711,883","385,494","326,389"
1982100000,1982,1000,Hokkaido,"5,630,000","2,757,000","2,873,000",***,***,***,"32,537","18,358","14,179"
1982100000,1982,12000,Chiba-ken,"4,923,000","2,476,000","2,447,000",***,***,***,"23,063","12,576","10,487"
1982100000,1982,13000,Tokyo-to,"11,650,000","5,868,000","5,783,000",***,***,***,"58,351","32,373","25,978"
1982100000,1982,26000,Kyoto-fu,"2,553,000","1,250,000","1,303,000",***,***,***,"16,059","8,320","7,739"
1982100000,1982,27000,Osaka-fu,"8,543,000","4,231,000","4,311,000",***,***,***,"44,578","24,474","20,104"
1982100000,1982,34000,Hiroshima-ken,"2,777,000","1,355,000","1,422,000",***,***,***,"17,778","9,567","8,211"
1982100000,1982,47000,Okinawa-ken,"1,132,000","557,000","575,000",***,***,***,"5,247","2,745","2,502"
1981100000,1981,0,All Japan,"117,902,000","58,001,000","59,901,000",***,***,***,"720,262","388,575","331,687"
1981100000,1981,1000,Hokkaido,"5,605,000","2,748,000","2,857,000",***,***,***,"32,701","18,507","14,194"
1981100000,1981,12000,Chiba-ken,"4,834,000","2,432,000","2,402,000",***,***,***,"23,502","12,789","10,713"
1981100000,1981,13000,Tokyo-to,"11,626,000","5,857,000","5,769,000",***,***,***,"58,747","32,102","26,645"
1981100000,1981,26000,Kyoto-fu,"2,539,000","1,244,000","1,295,000",***,***,***,"16,174","8,495","7,679"
1981100000,1981,27000,Osaka-fu,"8,509,000","4,217,000","4,291,000",***,***,***,"44,380","24,232","20,148"
1981100000,1981,34000,Hiroshima-ken,"2,761,000","1,348,000","1,413,000",***,***,***,"18,108","9,817","8,291"
1981100000,1981,47000,Okinawa-ken,"1,119,000","550,000","569,000",***,***,***,"5,330","2,771","2,559"
1980100000,1980,0,All Japan,"117,060,396","57,593,769","59,466,627",***,***,***,"722,801","390,644","332,157"
1980100000,1980,1000,Hokkaido,"5,575,989","2,737,089","2,838,900",***,***,***,"32,434","18,235","14,199"
1980100000,1980,12000,Chiba-ken,"4,735,424","2,383,157","2,352,267",***,***,***,"22,965","12,464","10,501"
1980100000,1980,13000,Tokyo-to,"11,618,281","5,856,280","5,762,001",***,***,***,"58,258","31,986","26,272"
1980100000,1980,26000,Kyoto-fu,"2,527,330","1,238,365","1,288,965",***,***,***,"16,059","8,492","7,567"
1980100000,1980,27000,Osaka-fu,"8,473,446","4,203,838","4,269,608",***,***,***,"44,272","24,326","19,946"
1980100000,1980,34000,Hiroshima-ken,"2,739,161","1,336,806","1,402,355",***,***,***,"18,235","9,860","8,375"
1980100000,1980,47000,Okinawa-ken,"1,106,559","543,692","562,867",***,***,***,"5,348","2,758","2,590"
1979100000,1979,0,All Japan,"116,155,000","57,151,000","59,004,000",***,***,***,"689,664","373,183","316,481"
1979100000,1979,1000,Hokkaido,"5,535,000","2,717,000","2,818,000",***,***,***,"31,091","17,730","13,361"
1979100000,1979,12000,Chiba-ken,"4,626,000","2,329,000","2,297,000",***,***,***,"22,131","12,014","10,117"
1979100000,1979,13000,Tokyo-to,"11,637,000","5,867,000","5,769,000",***,***,***,"55,758","30,759","24,999"
1979100000,1979,26000,Kyoto-fu,"2,512,000","1,232,000","1,280,000",***,***,***,"15,553","8,192","7,361"
1979100000,1979,27000,Osaka-fu,"8,445,000","4,193,000","4,253,000",***,***,***,"42,157","22,890","19,267"
1979100000,1979,34000,Hiroshima-ken,"2,717,000","1,325,000","1,391,000",***,***,***,"17,470","9,529","7,941"
1979100000,1979,47000,Okinawa-ken,"1,094,000","537,000","556,000",***,***,***,"5,066","2,611","2,455"
1978100000,1978,0,All Japan,"115,190,000","56,682,000","58,508,000",***,***,***,"695,821","375,625","320,196"
1978100000,1978,1000,Hokkaido,"5,490,000","2,695,000","2,795,000",***,***,***,"30,932","17,459","13,473"
1978100000,1978,12000,Chiba-ken,"4,508,000","2,271,000","2,237,000",***,***,***,"22,037","11,904","10,133"
1978100000,1978,13000,Tokyo-to,"11,659,000","5,883,000","5,776,000",***,***,***,"56,343","30,799","25,544"
1978100000,1978,26000,Kyoto-fu,"2,494,000","1,224,000","1,271,000",***,***,***,"15,464","8,203","7,261"
1978100000,1978,27000,Osaka-fu,"8,412,000","4,180,000","4,232,000",***,***,***,"41,737","22,542","19,195"
1978100000,1978,34000,Hiroshima-ken,"2,703,000","1,320,000","1,383,000",***,***,***,"17,257","9,374","7,883"
1978100000,1978,47000,Okinawa-ken,"1,081,000","530,000","551,000",***,***,***,"5,153","2,647","2,506"
1977100000,1977,0,All Japan,"114,165,000","56,184,000","57,981,000",***,***,***,"690,074","372,175","317,899"
1977100000,1977,1000,Hokkaido,"5,443,000","2,673,000","2,770,000",***,***,***,"30,428","17,037","13,391"
1977100000,1977,12000,Chiba-ken,"4,382,000","2,209,000","2,173,000",***,***,***,"21,670","11,766","9,904"
1977100000,1977,13000,Tokyo-to,"11,669,000","5,894,000","5,775,000",***,***,***,"54,677","30,246","24,431"
1977100000,1977,26000,Kyoto-fu,"2,474,000","1,214,000","1,260,000",***,***,***,"15,260","7,972","7,288"
1977100000,1977,27000,Osaka-fu,"8,373,000","4,167,000","4,207,000",***,***,***,"41,459","22,648","18,811"
1977100000,1977,34000,Hiroshima-ken,"2,689,000","1,315,000","1,374,000",***,***,***,"17,358","9,412","7,946"
1977100000,1977,47000,Okinawa-ken,"1,071,000","526,000","545,000",***,***,***,"5,276","2,686","2,590"
1976100000,1976,0,All Japan,"113,094,000","55,658,000","57,436,000",***,***,***,"703,270","378,630","324,640"
1976100000,1976,1000,Hokkaido,"5,395,000","2,650,000","2,745,000",***,***,***,"30,177","17,040","13,137"
1976100000,1976,12000,Chiba-ken,"4,267,000","2,153,000","2,114,000",***,***,***,"21,752","11,630","10,122"
1976100000,1976,13000,Tokyo-to,"11,674,000","5,904,000","5,770,000",***,***,***,"54,646","30,027","24,619"
1976100000,1976,26000,Kyoto-fu,"2,452,000","1,203,000","1,249,000",***,***,***,"15,544","8,175","7,369"
1976100000,1976,27000,Osaka-fu,"8,330,000","4,151,000","4,179,000",***,***,***,"42,075","22,831","19,244"
1976100000,1976,34000,Hiroshima-ken,"2,670,000","1,307,000","1,363,000",***,***,***,"18,003","9,683","8,320"
1976100000,1976,47000,Okinawa-ken,"1,058,000","519,000","539,000",***,***,***,"5,336","2,784","2,552"
1975100000,1975,0,All Japan,"111,939,643","55,090,673","56,848,970",***,***,***,"702,275","377,827","324,448"
1975100000,1975,1000,Hokkaido,"5,338,206","2,621,285","2,716,921",***,***,***,"31,037","17,407","13,630"
1975100000,1975,12000,Chiba-ken,"4,149,147","2,095,295","2,053,852",***,***,***,"21,768","11,783","9,985"
1975100000,1975,13000,Tokyo-to,"11,673,554","5,913,373","5,760,181",***,***,***,"55,323","30,303","25,020"
1975100000,1975,26000,Kyoto-fu,"2,424,856","1,190,854","1,234,002",***,***,***,"15,460","8,041","7,419"
1975100000,1975,27000,Osaka-fu,"8,278,925","4,132,495","4,146,430",***,***,***,"41,299","22,430","18,869"
1975100000,1975,34000,Hiroshima-ken,"2,646,324","1,296,677","1,349,647",***,***,***,"18,057","9,629","8,428"
1975100000,1975,47000,Okinawa-ken,"1,042,572","510,754","531,818",***,***,***,"5,667","2,897","2,770"
